"","factory_location","destination","distance_km","transport_mode","fuel_price","shipment_weight","shipment_volume","num_stops","shipment_urgency","weather_conditions","carrier_reliability","order_volume","product_type","packaging_type","special_handling","customs_clearance","supply_chain_disruption","seasonality","temp_control","delivery_lead_time","id"
"345","Los Angeles","Portland",1287,"Road",1.59,15408,40.7,0,"Medium","Clear",90.3,98,"Electronics","Oversized","No","Yes","No","Off-Peak","No",4.1,345
"346","New York","Atlanta",190,"Road",1.7,18219,8.7,1,"Low","Snow",96.1,358,"Automotive","Fragile","No","No","No","Off-Peak","Yes",1.2,346
"347","Los Angeles","Detroit",128,"Road",1.8,14944,17.5,3,"Low","Clear",78,733,"Furniture","Oversized","No","No","No","Off-Peak","No",2,347
"348","Fort Worth","Nashville",562,"Road",1.55,2039,4.7,2,"Low","Snow",83.1,960,"Electronics","Refrigerated","Yes","No","No","Peak","No",2.8,348
"349","San Diego","Indianapolis",1165,"Rail",1,18917,38.7,2,"Medium","Clear",77.4,952,"Electronics","Fragile","No","No","No","Peak","No",2.2,349
"350","New York","Miami",1786,"Rail",1.25,3653,71.6,1,"Low","Storm",93.5,428,"Automotive","Standard","No","No","No","Off-Peak","No",5,350
"351","Charlotte","Portland",1042,"Road",1.66,16067,26.4,1,"Low","Clear",89.8,980,"Clothing","Refrigerated","No","No","No","Off-Peak","No",2.7,351
"352","Chicago","Cleveland",1509,"Road",1.13,13458,41.1,2,"Low","Clear",94,339,"Automotive","Standard","No","No","No","Peak","No",4.6,352
"353","Los Angeles","Indianapolis",2269,"Road",1.37,8425,80.6,1,"Low","Clear",89.3,618,"Electronics","Oversized","Yes","No","No","Peak","No",5.2,353
"354","Los Angeles","Portland",549,"Road",0.95,15095,79.7,0,"Low","Clear",84.7,575,"Furniture","Refrigerated","No","No","No","Off-Peak","Yes",1,354
"355","Phoenix","Nashville",2539,"Road",0.72,8357,39.2,1,"Low","Storm",82.1,780,"Pharmaceutical","Refrigerated","No","No","No","Off-Peak","No",7.4,355
"356","Charlotte","Nashville",995,"Air",0.91,11921,74.9,0,"Medium","Clear",87.6,172,"Clothing","Standard","Yes","No","No","Off-Peak","No",1.5,356
"357","Jacksonville","Atlanta",740,"Road",0.8,6465,47.2,2,"Low","Clear",76.9,149,"Automotive","Standard","No","No","No","Off-Peak","No",-2.8,357
"358","Dallas","Miami",964,"Road",0.84,12965,23.3,0,"Low","Rain",80.1,245,"Electronics","Standard","No","No","No","Off-Peak","No",2.5,358
"359","Fort Worth","Portland",2380,"Road",1.28,7225,21.2,0,"Medium","Rain",87.3,72,"Automotive","Fragile","No","Yes","No","Off-Peak","No",6.7,359
"360","San Jose","Portland",801,"Road",1.88,17450,6.2,1,"Low","Rain",77.5,730,"Automotive","Oversized","Yes","No","No","Peak","No",2.4,360
"361","Fort Worth","Kansas City",2772,"Road",1.37,8188,58.9,1,"Medium","Clear",84.4,500,"Clothing","Refrigerated","No","No","No","Peak","No",5,361
"362","Philadelphia","Nashville",488,"Road",0.89,9171,96.8,2,"Low","Clear",81.6,110,"Electronics","Refrigerated","No","No","No","Off-Peak","No",2,362
"363","San Jose","Sacramento",689,"Air",1.06,17797,6.3,1,"Low","Clear",94.9,619,"Automotive","Fragile","Yes","Yes","No","Off-Peak","No",3,363
"364","San Jose","Indianapolis",10752,"Air",1.35,13076,72.1,3,"Medium","Clear",70.5,145,"Electronics","Standard","No","No","No","Off-Peak","No",3.8,364
"365","Philadelphia","Boston",808,"Rail",0.74,298,1.2,2,"Low","Clear",77.9,453,"Electronics","Refrigerated","No","Yes","No","Off-Peak","Yes",4.6,365
"366","Jacksonville","Sacramento",2136,"Road",1.51,13146,99,0,"Low","Rain",87.6,785,"Food","Standard","No","No","Yes","Off-Peak","No",8.1,366
"367","Chicago","Boston",2240,"Road",0.53,4904,97,1,"Low","Rain",83.5,219,"Clothing","Refrigerated","No","No","No","Off-Peak","Yes",5.8,367
"368","Houston",NA,824,"Road",0.52,19314,70.3,0,"High","Clear",96.6,895,"Furniture","Oversized","Yes","Yes","No","Off-Peak","No",2.6,368
"369","Austin","Miami",1739,"Road",1.5,8998,77.8,0,"Low","Snow",99.7,120,"Pharmaceutical","Oversized","Yes","No","No","Off-Peak","No",4.6,369
"370","Austin","Orlando",2751,"Rail",0.81,13406,45.3,0,"Medium","Snow",91,78,"Furniture",NA,"No","No","No","Off-Peak","No",4.8,370
"371","Chicago","Kansas City",2140,"Road",1.08,2084,74,0,"Low","Clear",73,828,"Clothing","Refrigerated","No","No","No","Off-Peak","No",4.1,371
"372","Fort Worth","Indianapolis",2541,"Rail",0.74,4214,68.1,0,"Low","Clear",97.8,748,"Furniture","Oversized","No","No","No","Peak","No",4.9,372
"373","San Antonio","Indianapolis",2764,"Air",1.56,18951,2.3,2,"Low","Clear",88.7,844,"Electronics","Oversized","No","No","No","Off-Peak","No",4.8,373
"374","Chicago","Portland",919,"Road",1.42,11404,54.1,1,"Low","Clear",84.9,726,"Automotive","Fragile","Yes","Yes","No","Off-Peak","Yes",4.2,374
"375","Charlotte","Nashville",1969,"Road",0.59,8209,75.3,2,"Low","Snow",89.8,442,"Food","Fragile","No","Yes","No","Off-Peak","No",7.8,375
"376","Los Angeles","Las Vegas",468,"Road",1.11,11638,3,2,"Medium","Storm",70.8,494,"Clothing","Refrigerated","No","No","No","Peak","No",3.3,376
"377","Charlotte","Miami",2568,"Road",0.66,2727,70.1,1,"Low","Clear",79.8,954,"Automotive","Fragile","No","No","No","Off-Peak","No",5.9,377
"378","San Antonio","Sacramento",2015,"Road",1.1,10010,85.3,2,"Low","Clear",79.1,410,"Clothing","Standard","No","Yes","No","Off-Peak","No",6.8,378
"379","Chicago","Detroit",2213,"Rail",1.18,3807,47.4,2,"Medium","Clear",77.2,511,"Clothing","Standard","No","Yes","No","Peak","No",5.7,379
"380","Dallas","Atlanta",978,"Road",1.44,4886,26.7,0,"Medium","Clear",78.5,363,"Electronics","Refrigerated","No","Yes","No","Off-Peak","No",3.5,380
"381","Fort Worth","Nashville",2020,"Road",0.62,16189,79.7,2,"Medium","Clear",72.2,837,"Furniture","Oversized","No","No","No","Peak","No",4.7,381
"382","San Antonio","Cleveland",1418,"Road",1.01,13603,43.1,2,"Low","Clear",95,969,"Electronics","Standard","No","No","No","Peak","No",3.3,382
"383","Columbus","Orlando",1968,"Road",0.54,19387,87,1,"Medium","Clear",72.3,258,"Furniture","Standard","No",NA,"No","Peak","No",6.2,383
"384","Charlotte","Sacramento",2368,"Road",1.01,2855,63.3,1,"Low","Clear",92,831,"Automotive","Standard","Yes","No","No","Off-Peak","No",5.3,384
"385","Columbus","Atlanta",2710,"Road",1.68,9066,45.7,0,"Medium","Clear",81.9,730,"Pharmaceutical","Oversized","No","No","No","Off-Peak","No",4.6,385
"386","Dallas","Indianapolis",1606,"Rail",1.61,9842,52.5,1,"Low","Clear",98.6,785,"Pharmaceutical","Standard","No","No","No","Peak","Yes",2.6,386
"387","Houston","Boston",516,"Air",1.72,10898,97.4,0,"Medium","Clear",96.8,748,"Electronics","Fragile","No","No","No",NA,"No",1,387
"388","Los Angeles","Miami",845,"Road",0.58,9181,68.7,3,"Medium","Clear",81.6,494,"Automotive","Oversized","No","No","No","Peak","Yes",4.4,388
"389","Philadelphia","Las Vegas",447,"Road",0.73,3511,84,2,"Low","Rain",85.6,618,"Food","Standard","No","No","Yes","Off-Peak","No",6,389
"390","San Jose","Sacramento",751,"Road",1.48,14325,40.1,1,"Low","Clear",93.9,774,"Pharmaceutical","Standard","No","Yes","No","Off-Peak","Yes",3.6,390
"391","Jacksonville","Denver",2183,"Road",1.09,18130,89.1,1,"Medium","Rain",98.2,864,"Automotive","Fragile","No","No","No","Peak","No",5.4,391
"392","Dallas","Detroit",1900,"Road",0.78,5877,3.5,0,"Low","Clear",81,771,"Pharmaceutical","Fragile","No","No","Yes","Peak","No",7.1,392
"393","Jacksonville","Orlando",1384,"Road",0.69,15325,38.3,3,"Low","Clear",78.2,452,"Pharmaceutical","Refrigerated","No","No","No","Peak","No",3.7,393
"394","Fort Worth","Indianapolis",1921,"Road",0.69,18598,68.7,3,"Low","Clear",78.5,726,"Food","Fragile","No","No","No","Off-Peak","No",5.2,394
"395","Fort Worth","Nashville",1612,"Rail",1.44,297,45.3,1,"Medium","Rain",91.6,32,"Clothing","Standard","No","No","No","Off-Peak","No",4.4,395
"396","Austin","Indianapolis",1024,"Road",1.25,10060,22.1,0,"Low","Clear",89.8,203,"Clothing","Refrigerated","No","No","No","Off-Peak","Yes",2.6,396
"397","San Antonio","Orlando",2324,"Road",1.23,5262,18.6,1,"Low","Clear",86.5,374,"Automotive","Standard","No","No","No","Peak","Yes",4.8,397
"398","Fort Worth","Detroit",1923,"Road",1.81,9297,68.4,3,"Low","Clear",76,305,"Clothing","Standard","No","No","No","Off-Peak","No",5.7,398
"399","Phoenix","Cincinnati",2334,"Road",0.79,8208,66.2,2,"High","Rain",89.2,778,"Clothing","Fragile","No","No","Yes","Peak","No",7.3,399
"400","Austin","Portland",578,"Road",1.64,16723,42.7,1,"Low","Clear",95.7,43,"Pharmaceutical","Refrigerated","No","No","No","Off-Peak","No",2.3,400
"401","New York","Denver",1219,"Road",0.83,2765,60.8,1,"Low","Clear",87.4,40,"Automotive","Refrigerated","Yes","No","No","Off-Peak","No",2.7,401
"402","Chicago","Detroit",2890,"Road",0.73,17404,40.7,0,"Low","Clear",89.2,103,"Food","Standard","No","No","Yes","Off-Peak","Yes",9.3,402
"403","Jacksonville","Atlanta",1163,"Road",0.72,7908,54.1,0,"Low","Clear",93.4,53,"Furniture","Standard","No","No","No","Off-Peak","No",1.9,403
"404","Los Angeles","Indianapolis",279,"Rail",1.83,12438,84.9,2,"Low","Clear",83.3,996,"Pharmaceutical","Fragile","No","No","Yes","Off-Peak","No",4.9,404
"405","Phoenix","Miami",1612,"Air",1.5,2657,25.6,1,"High","Clear",84.9,514,"Automotive","Refrigerated","No","Yes","No","Peak","Yes",3.6,405
"406","New York","Miami",2852,"Rail",1.19,17645,68.5,0,"Medium","Clear",77,588,"Clothing","Oversized","No","No","No","Off-Peak","No",4.3,406
"407","Charlotte","Atlanta",2576,"Road",1.57,12842,41.4,1,"Low","Clear",95,553,"Electronics","Refrigerated","No","No","No","Off-Peak","No",6,407
"408","Jacksonville","Boston",1671,"Air",1.56,10289,54.5,0,"Low","Clear",74.7,382,"Automotive","Oversized","No","No","No","Off-Peak","No",2.2,408
"409","Columbus","Denver",2012,"Road",1.47,12665,97.7,1,"Medium","Clear",90.6,890,"Electronics","Fragile","No","Yes","No","Off-Peak","No",5.1,409
"410","Chicago","Boston",1526,"Road",1.87,19296,60,2,"Medium","Clear",70.2,626,"Pharmaceutical","Standard","No","Yes","Yes","Peak","No",7.9,410
"411","Columbus","Indianapolis",2776,"Rail",0.8,15847,18.5,2,"Low","Rain",84.9,481,"Pharmaceutical","Standard","Yes","No","No","Peak","No",5.8,411
"412","Dallas","Seattle",321,"Road",1.15,18985,88.5,0,"Low","Clear",91.5,60,"Electronics","Refrigerated","No",NA,"No","Peak","No",1,412
"413","Los Angeles","Cleveland",1516,"Rail",0.56,13263,34.9,0,"Medium","Rain",83.7,697,"Electronics","Fragile","No","Yes","No","Peak","Yes",4.8,413
"414","Charlotte","Sacramento",2358,"Road",0.74,9170,84.8,0,"Medium","Clear",81,184,"Pharmaceutical","Oversized","Yes","No","Yes","Off-Peak","No",6.8,414
"415","Philadelphia","Boston",2616,"Road",1.55,18896,8.9,1,"Low","Snow",73,612,"Clothing","Standard","Yes","No","No","Peak","No",6.2,415
"416","Chicago","Cleveland",2710,"Road",1.61,13422,7.2,1,"Medium","Snow",78.1,986,"Furniture","Oversized","No","No","Yes","Off-Peak","No",10.1,416
"417","Chicago","Sacramento",2444,"Road",1.14,7059,11.6,0,"Low","Clear",77.7,774,"Furniture","Standard","Yes","No","No","Off-Peak","No",5.1,417
"418","Dallas","Sacramento",504,"Air",1.03,7000,85.6,2,"Low","Clear",95.2,561,"Clothing","Fragile","Yes","No","No","Peak","No",1,418
"419","Los Angeles","Atlanta",2203,"Road",1.23,411,39.3,0,"Medium","Clear",81.9,822,"Automotive","Standard","Yes","No","No","Off-Peak","No",3.3,419
"420","New York","Kansas City",2291,"Road",0.54,9081,87.9,2,"Medium","Rain",99.7,561,"Furniture","Oversized","No","No","No","Peak","Yes",4.7,420
"421","Philadelphia","Detroit",1999,"Air",1.77,10254,35.4,0,"Low","Snow",94.8,100,"Clothing","Oversized","No","No","No","Off-Peak","Yes",3.3,421
"422","San Jose","Miami",2729,"Air",1.48,1299,37.9,0,"Medium","Clear",84.6,885,"Electronics","Oversized","No","Yes","Yes","Off-Peak","No",7.6,422
"423","San Diego","Atlanta",1200,"Road",0.78,14868,27.6,1,"Low","Clear",93.6,255,"Automotive","Standard","No","Yes","No","Off-Peak","Yes",-5.4,423
"424","San Jose","Boston",2873,"Rail",1.32,3147,48,1,"Low","Clear",87.3,57,"Pharmaceutical","Refrigerated","No","No","No","Off-Peak","No",5.4,424
"425","San Jose","Las Vegas",1397,"Road",1.81,6948,22.7,0,"Medium","Clear",76.3,823,"Automotive","Standard","No","No","No","Peak","Yes",1.8,425
"426","Fort Worth","Seattle",625,"Rail",0.84,7676,81,0,"Low","Clear",94.2,812,"Electronics","Oversized","Yes","No","No","Off-Peak","No",NA,426
"427","Houston","Miami",1793,"Air",1.01,18396,42.8,1,"Low","Rain",79.5,25,"Pharmaceutical","Fragile","No","No","No","Off-Peak","No",3.2,427
"428","Philadelphia","Portland",508,"Road",1.66,12779,74.2,1,"High","Clear",98.4,641,"Food","Refrigerated","No","No","No","Off-Peak","No",1,428
"429","Houston","Miami",1583,"Road",0.86,17278,87.3,0,"High","Clear",98.8,15,"Automotive","Fragile","No","Yes","No","Off-Peak","Yes",4.1,429
"430","Fort Worth","Detroit",1268,"Rail",0.61,8316,88.5,0,"Low","Rain",87.8,99,"Food","Standard","No","No","No","Peak","No",2.7,430
"431","Houston","Boston",2490,"Road",1.13,NA,36.7,1,"Medium","Clear",72.4,559,"Furniture","Oversized","No","No","No","Off-Peak","No",4.8,431
"432","Columbus","Seattle",1711,"Rail",0.8,4026,57.8,1,"Medium","Rain",84.2,172,"Electronics","Fragile","No","No","No","Off-Peak","No",3,432
"433","Dallas","Cleveland",1397,"Road",1.48,10603,10.9,1,"Low","Clear",87.1,518,"Pharmaceutical","Oversized","No","No","No","Off-Peak","No",3.1,433
"434","San Diego","Indianapolis",617,"Road",1.43,18006,14.3,3,"High","Clear",86.2,110,"Electronics","Refrigerated","Yes","No","No","Off-Peak","No",2,434
"435","San Antonio","Boston",1442,"Road",1.13,5884,15.1,2,"Low","Snow",88.3,370,"Electronics","Fragile","No","No","No","Off-Peak","No",4.4,435
"436","San Jose","Atlanta",736,"Road",0.72,6182,19.2,1,"Low","Clear",87.1,308,"Food","Oversized","No","Yes","No","Off-Peak","No",5,436
"437","New York","Kansas City",977,"Road",0.78,8653,3.2,1,"High","Clear",79.2,804,"Electronics","Refrigerated","No","No","No","Off-Peak","No",1,437
"438","Charlotte","Kansas City",2607,"Road",1.14,17745,27.2,1,"Low","Clear",89.2,754,"Furniture","Oversized","No","Yes","No","Off-Peak","No",7.3,438
"439","Los Angeles","Indianapolis",1363,"Road",1.08,13643,5.3,1,"Low","Clear",72.5,885,"Clothing","Fragile","Yes","No","Yes","Off-Peak","No",5.6,439
"440","San Diego","Sacramento",1330,"Road",0.59,8812,6.3,4,"Low","Clear",77.2,554,"Automotive","Refrigerated","No","No","No","Off-Peak","No",4.6,440
"441","Chicago","Detroit",1444,"Road",0.51,16685,23.5,1,"Medium","Clear",80.4,841,"Furniture","Oversized","Yes","No","No","Peak","No",2.6,441
"442","San Jose","Miami",2509,"Air",1.82,4916,17.8,1,"Medium","Clear",82,46,"Food","Fragile","No","No","No","Off-Peak","Yes",3.7,442
"443","San Antonio","Indianapolis",81,"Road",0.96,7733,17.3,2,"Medium","Snow",99.9,436,"Automotive","Fragile","No","Yes","No","Off-Peak","No",4,443
"444","Austin","Indianapolis",962,"Air",1.94,2493,58.9,1,"Low","Clear",71.3,942,"Pharmaceutical","Oversized","Yes","Yes","No","Off-Peak","Yes",4,444
"445","New York","Seattle",304,"Road",1.51,4741,13.4,1,"Low","Clear",83.7,494,"Pharmaceutical","Refrigerated","No","No","No","Off-Peak","No",1,445
"446","Jacksonville","Denver",NA,"Rail",1.78,13783,70.9,2,"Low","Storm",82.5,353,"Clothing","Refrigerated","No","No","No","Off-Peak","No",6.3,446
"447","Los Angeles","Portland",1440,"Air",1.15,19868,97.7,1,"High","Clear",82.4,624,"Automotive","Oversized","No","No","No","Off-Peak","Yes",1.1,447
"448","Chicago","Atlanta",1620,"Road",1.89,16660,70.1,0,"Low","Rain",79.1,300,"Food","Oversized","No","No","No","Off-Peak","No",3.5,448
"449","Fort Worth","Cleveland",1216,"Road",1.63,13990,96,0,"Low","Clear",87.1,27,"Clothing","Fragile","No","No","No","Peak","No",2.2,449
"450","Fort Worth","Denver",1391,"Air",NA,10544,90,1,"Low","Storm",93.8,359,"Clothing","Fragile","No","Yes","No","Off-Peak","Yes",5.5,450
"451","Charlotte","Detroit",389,"Rail",1.53,3744,99.5,1,"Low","Clear",73.6,166,"Automotive","Oversized","No","No","No","Off-Peak","No",1.3,451
"452",NA,"Nashville",142,"Rail",1.88,19645,24.6,2,"Medium","Rain",84.4,938,"Electronics","Fragile","No","No","No","Peak","No",1.8,452
"453","Chicago","Miami",118,"Road",1.61,16499,78.3,0,"Medium","Clear",93.2,789,"Electronics","Refrigerated","No","No","No","Peak","No",1,453
"454","Philadelphia","Nashville",279,"Road",1.51,19369,70.1,0,"Low","Clear",75.1,541,"Automotive","Refrigerated","Yes","No","No","Peak","No",1.1,454
"455","Columbus","Atlanta",1117,"Road",1.62,10539,44.2,2,"High","Rain",92.9,602,"Automotive","Oversized","No","No","No","Off-Peak","No",2.7,455
"456","San Jose","Portland",2296,"Road",0.67,14907,69,1,"Low","Clear",78.9,59,"Electronics","Refrigerated","Yes","No","No","Off-Peak","No",5.5,456
"457","Phoenix","Las Vegas",2243,"Rail",0.56,15937,15.7,1,"Medium","Clear",80.9,105,"Food","Fragile","No","Yes","No","Off-Peak","No",4.6,457
"458","Houston","Sacramento",338,"Road",1.06,10078,3.2,0,"Low","Clear",81,576,"Electronics","Standard","No","Yes","No","Peak","No",2.8,458
"459","Los Angeles","Kansas City",2888,"Road",1.25,10461,14.4,1,"High","Clear",85.7,902,"Automotive","Oversized","No","Yes","No","Peak","No",6.4,459
"460","New York","Cleveland",472,"Rail",1.93,14124,69.5,1,"Low","Rain",74.2,997,"Clothing","Refrigerated","No","Yes","No","Off-Peak","No",3.2,460
"461","Jacksonville","Indianapolis",1480,"Air",1.92,9586,31.7,3,"Low","Clear",79.2,691,"Electronics","Standard","No","No","Yes","Off-Peak","No",5.2,461
"462","New York","Kansas City",1716,"Road",1.47,5952,35.5,1,"Medium","Clear",95.2,900,"Furniture","Oversized","Yes","Yes","No","Off-Peak","No",5.3,462
"463","Jacksonville","Indianapolis",2800,"Road",0.97,10768,90.1,1,"Low","Rain",92.6,281,"Furniture","Standard","No","No","No","Off-Peak","No",5.9,463
"464","Phoenix","Sacramento",2469,"Road",1.3,11826,48.3,0,"Low","Storm",87.8,333,"Pharmaceutical","Standard","No","No","No","Off-Peak","No",6.6,464
"465","Jacksonville","Miami",1623,"Road",1.51,13236,75,1,"Medium","Clear",71.5,509,"Furniture","Fragile","Yes","No","No","Off-Peak","No",2.8,465
"466","Los Angeles","Cleveland",1184,"Road",1.79,19128,64,0,"Low","Clear",90.2,256,"Clothing","Refrigerated","No","Yes","No","Off-Peak","No",3.8,466
"467","Los Angeles","Nashville",1661,"Road",1.34,5491,81.5,1,"Low","Rain",82.4,531,"Electronics","Oversized","Yes","Yes","No","Off-Peak","No",6.4,467
"468","Jacksonville","Indianapolis",2400,"Road",0.64,5368,53.7,0,"Low","Clear",71.7,629,"Electronics","Standard","No","No","No","Off-Peak","No",4.6,468
"469","Charlotte","Portland",1901,"Road",1.57,5197,43.2,1,"Low","Clear",92,389,"Food","Refrigerated","No","No","No","Off-Peak","No",4,469
"470","Chicago","Nashville",357,"Road",1.75,8757,49.8,0,"Low","Clear",73.3,484,"Electronics","Fragile","No","No","Yes","Off-Peak","No",3.6,470
"471","Phoenix","Seattle",616,"Road",1.09,8591,7,0,"Medium","Clear",98.6,433,"Electronics","Fragile","No","No","Yes","Peak","Yes",3.7,471
"472","Philadelphia","Cleveland",2534,"Air",0.79,7888,61.5,1,"Medium","Clear",78.8,439,"Pharmaceutical","Refrigerated","No","No","Yes","Off-Peak","Yes",6.4,472
"473","San Jose","Indianapolis",1464,"Road",0.89,11403,63.2,1,"Low","Clear",75.5,447,"Pharmaceutical","Standard","No","No","No","Peak","No",4.1,473
"474","Charlotte","Atlanta",2343,"Teleportation",0.56,7523,16.5,3,"Low","Storm",96.9,34,"Clothing","Oversized","No","No","No","Peak","No",5.6,474
"475","Chicago","Nashville",2464,"Road",1.29,7572,42.1,0,"Medium","Clear",73.9,748,"Electronics","Standard","No","No","No","Peak","No",4.4,475
"476","Austin","Kansas City",926,"Road",1.39,6201,29,0,"Medium","Clear",80.7,786,"Furniture","Oversized","Yes","Yes","No","Off-Peak","No",3.4,476
"477","Chicago","Boston",719,"Road",1.37,12525,38.7,2,"High","Clear",83.7,843,"Electronics","Fragile","No","No","No","Off-Peak","No",1.8,477
"478","Columbus","Seattle",1880,"Road",1.85,3376,78.9,1,"Medium","Rain",96.2,558,"Furniture","Standard","Yes","No","No","Off-Peak","No",3.8,478
"479","New York","Indianapolis",1153,"Road",1.14,2792,98.6,0,"Medium","Clear",84.3,712,"Automotive","Refrigerated","Yes","Yes","Yes","Off-Peak","No",7.2,479
"480","San Diego","Las Vegas",2664,"Road",0.86,1732,51.3,0,"Low","Clear",90.7,735,"Clothing","Refrigerated","Yes","No","No","Off-Peak","Yes",5.1,480
"481","New York","Seattle",420,"Road",1.27,1617,81,2,"Medium","Clear",93.3,960,"Clothing","Oversized","No","No","No","Off-Peak","No",1,481
"482","Austin","Boston",516,"Rail",0.6,13832,96.3,1,"Low","Clear",82.9,411,"Food","Refrigerated","No","No","Yes","Peak","Yes",4.5,482
"483","Houston","Indianapolis",1933,"Air",1.49,19418,41.6,1,"Medium","Clear",83.6,735,"Electronics","Refrigerated","No","No","No","Off-Peak","No",2.4,483
"484","San Diego","Boston",599,"Road",1.6,15871,88.7,0,"Medium","Rain",77.2,642,"Pharmaceutical","Standard","Yes","Yes","No","Off-Peak","Yes",3.3,484
"485","Jacksonville","Cincinnati",2010,"Air",0.83,13127,3.8,0,"Low","Clear",78.5,630,"Pharmaceutical","Fragile","No","Yes","No","Off-Peak","No",4.6,485
"486","Fort Worth","Denver",1560,"Road",0.78,13834,68.9,0,"Low","Clear",97.4,642,"Food","Oversized","No","Yes","No","Peak","No",4.8,486
"487","San Jose","Nashville",2238,"Road",1.81,6979,39.3,2,"High","Clear",99.1,802,"Automotive","Fragile","No","No","No","Off-Peak","No",5,487
"488","San Jose","Orlando",1043,"Road",0.94,12917,29,1,"Medium","Clear",91.8,445,"Food","Standard","No","Yes","No","Peak","No",3.9,488
"489","San Diego","Atlanta",378,"Road",1.98,7856,84.1,0,"Low","Clear",81.1,452,"Food","Oversized","No","No","No","Peak","No",1,489
"490","Jacksonville","Indianapolis",1237,"Road",1.59,2573,58,1,"Low","Clear",84.7,531,"Furniture","Fragile","No","No","No","Off-Peak","Yes",3.1,490
"491","San Antonio","Seattle",1651,"Road",1.9,15698,64.9,0,"Medium","Rain",94.3,770,"Furniture","Refrigerated","Yes","No","No","Off-Peak","No",3.7,491
"492","Los Angeles","Orlando",2234,"Road",1.63,17375,36.9,1,"Medium","Clear",86.8,872,"Electronics","Standard","No","No","No","Off-Peak","No",4.5,492
"493","New York","Miami",559,"Road",0.99,8393,61.1,0,"Low","Clear",93.2,978,NA,"Fragile","No","Yes","No","Off-Peak","No",3.1,493
"494","Houston","Portland",1780,"Road",1.06,13015,91.9,2,"Low","Clear",78,334,"Automotive","Oversized","No","No","No","Off-Peak","No",4.2,494
"495","Austin","Nashville",1525,"Road",0.55,11566,85.3,0,"Low","Clear",79.9,423,"Furniture","Standard","No","No","No","Off-Peak","No",2.7,495
"496","Dallas","Miami",2812,"Rail",1.84,17892,99.3,0,"Low","Clear",99.1,972,"Furniture","Fragile","No","No","No","Off-Peak","No",4.5,496
"497","Phoenix","Las Vegas",2735,"Road",1.28,7973,43.9,0,"Low","Clear",98.6,851,"Food","Fragile","No","No","No","Off-Peak","No",5.1,497
"498","Austin","Kansas City",501,"Road",1.02,7990,87.7,3,"Low","Clear",91.6,850,"Furniture","Fragile","No","No","No","Off-Peak",NA,2.4,498
"499","Jacksonville","Miami",957,"Road",1.72,6230,37.1,1,"Low","Snow",73.7,515,"Pharmaceutical","Fragile","No","No","No","Off-Peak","No",3.7,499
"500","San Diego","Las Vegas",2110,"Road",NA,2033,7.6,0,"Low","Clear",94.5,356,"Electronics","Fragile","Yes","No","No","Off-Peak","No",3.9,500
"501","Los Angeles","Detroit",2301,"Road",1.67,14557,40.6,0,"Low","Clear",75.2,235,"Furniture","Fragile","No","No","No","Off-Peak","No",5.6,501
"502","Phoenix","Cleveland",1554,"Air",1.3,17806,50.4,0,"High","Clear",74.8,954,"Food","Standard","No","Yes","No","Off-Peak","No",3.3,502
"503","Fort Worth","Sacramento",719,"Road",0.66,11170,77.1,1,"Low","Clear",96.4,873,"Food","Standard","No","Yes","No","Off-Peak","No",4.5,503
"504","Los Angeles","Seattle",539,"Road",1.83,2718,23.9,2,"Medium","Clear",71.8,882,"Electronics","Refrigerated","No","Yes","No","Off-Peak","No",3.4,504
"505","Philadelphia","Atlanta",983,"Road",0.7,18080,40,3,"Low","Clear",71.8,680,"Furniture","Fragile","No","Yes","No","Off-Peak","No",6,505
"506","San Jose","Cleveland",183,"Road",1.74,7991,42.3,2,"Medium","Clear",99.3,963,"Automotive","Oversized","No","Yes","No","Off-Peak","No",2.1,506
"507","San Jose","Seattle",2025,"Road",1.33,2691,77.9,1,"Medium","Clear",92.1,382,"Electronics","Fragile","No","No","No","Peak","No",3.8,507
"508","Dallas","Atlanta",2252,"Road",1.34,18002,53.3,0,"Low","Clear",85.8,304,"Automotive","Fragile","Yes","No","No","Off-Peak","No",3.9,508
"509","Austin","Sacramento",783,"Road",1.6,8979,11.9,0,"Low","Rain",87.3,961,"Clothing","Refrigerated","No","No","No","Off-Peak","No",1,509
"510",NA,"Boston",1428,"Road",1.08,8726,48.8,2,"Low","Clear",78.8,717,"Electronics","Refrigerated","No","No","No","Peak","No",3.7,510
"511","Philadelphia","Las Vegas",181,"Air",1.71,8403,11.1,1,"Low","Rain",93.1,41,"Automotive","Oversized","No","Yes","No","Off-Peak","No",3.1,511
"512","Jacksonville","Kansas City",340,"Road",1.78,6352,89.6,0,"Low","Clear",84.2,476,"Pharmaceutical","Fragile","No","No","No","Off-Peak","No",1,512
"513","Chicago","Las Vegas",2696,"Road",1.69,2910,55.5,1,"Low","Snow",93.5,480,"Pharmaceutical","Oversized",NA,"No","No","Off-Peak","No",6.4,513
"514","Austin","Cincinnati",1865,"Road",1.13,15830,92.7,0,"Low","Clear",79.5,306,"Automotive","Fragile","Yes","Yes","No","Off-Peak","No",5.4,514
"515","San Diego","Sacramento",1940,"Road",0.75,16832,77.9,1,"Medium","Clear",77.6,423,"Food","Oversized","No","No","No","Off-Peak","No",4.2,515
"516","Austin","Orlando",1410,"Road",1.59,3940,64.6,1,"Low","Rain",95.4,834,"Electronics","Refrigerated","No","No","No","Off-Peak","No",3.2,516
